Year,MexState,Mode,TradeType,TradeValue,Weight,WeightLb
1994,Veracruz,Other/Unknown,Export,3062902.0,,
1994,Veracruz,Rail,Export,34393619.0,,
1994,Veracruz,Truck,Export,135699577.0,,
1994,Yucatan,Rail,Export,4746831.0,,
1994,Yucatan,Truck,Export,7905691.0,,
1994,Zacatecas,Other/Unknown,Export,312977.0,,
1994,Zacatecas,Rail,Export,9402135.0,,
1994,Zacatecas,Truck,Export,28146586.0,,
1995,Aguascalientes,Other/Unknown,Export,71466.0,,
1995,Aguascalientes,Rail,Export,8600907.0,,
1995,Aguascalientes,Truck,Export,253790093.0,,
1995,Baja California,Mail (U.S. Postal Service),Export,7734.0,,
1995,Baja California,Rail,Export,1485114.0,,
1995,Baja California,Truck,Export,10133625.0,,
1995,Baja California Sur,Truck,Export,819831.0,,
1995,Campeche,Mail (U.S. Postal Service),Export,12554.0,,
1995,Campeche,Rail,Export,381254.0,,
1995,Campeche,Truck,Export,9036619.0,,
1995,Chiapas,Mail (U.S. Postal Service),Export,197102.0,,
1995,Chiapas,Rail,Export,413800.0,,
1995,Chiapas,Truck,Export,11152966.0,,
1995,Chihuahua,Mail (U.S. Postal Service),Export,32295.0,,
1995,Chihuahua,Other/Unknown,Export,6480241.0,,
1995,Chihuahua,Rail,Export,83654771.0,,
1995,Chihuahua,Truck,Export,6858649702.0,,
1995,Coahuila,Mail (U.S. Postal Service),Export,279524.0,,
1995,Coahuila,Other/Unknown,Export,4058875.0,,
1995,Coahuila,Rail,Export,1029576492.0,,
1995,Coahuila,Truck,Export,1539503996.0,,
1995,Colima,Mail (U.S. Postal Service),Export,27770.0,,
1995,Colima,Rail,Export,17825431.0,,
1995,Colima,Truck,Export,113206671.0,,
1995,Distrito Federal,Mail (U.S. Postal Service),Export,2456802.0,,
1995,Distrito Federal,Other/Unknown,Export,20371481.0,,
1995,Distrito Federal,Rail,Export,1287539918.0,,
1995,Distrito Federal,Truck,Export,5105638210.0,,
1995,Durango,Mail (U.S. Postal Service),Export,25725.0,,
1995,Durango,Other/Unknown,Export,1639969.0,,
1995,Durango,Rail,Export,61726166.0,,
1995,Durango,Truck,Export,246717680.0,,
1995,Estado de Mexico,Mail (U.S. Postal Service),Export,184795.0,,
1995,Estado de Mexico,Other/Unknown,Export,13801006.0,,
1995,Estado de Mexico,Rail,Export,341510660.0,,
1995,Estado de Mexico,Truck,Export,2520018464.0,,
1995,Guanajuato,Mail (U.S. Postal Service),Export,1041967.0,,
1995,Guanajuato,Other/Unknown,Export,35729.0,,
1995,Guanajuato,Rail,Export,510933419.0,,
1995,Guanajuato,Truck,Export,252731104.0,,
1995,Guerrero,Mail (U.S. Postal Service),Export,15616.0,,
1995,Guerrero,Rail,Export,6651672.0,,
1995,Guerrero,Truck,Export,13379788.0,,
1995,Hidalgo,Mail (U.S. Postal Service),Export,7732.0,,
1995,Hidalgo,Rail,Export,72493965.0,,
1995,Hidalgo,Truck,Export,75100787.0,,
1995,Jalisco,Mail (U.S. Postal Service),Export,950491.0,,
1995,Jalisco,Other/Unknown,Export,5525732.0,,
1995,Jalisco,Rail,Export,188946963.0,,
1995,Jalisco,Truck,Export,1196838367.0,,
1995,Michoacan,Mail (U.S. Postal Service),Export,168933.0,,
1995,Michoacan,Rail,Export,50669346.0,,
1995,Michoacan,Truck,Export,62761356.0,,
1995,Morelos,Other/Unknown,Export,251560.0,,
1995,Morelos,Rail,Export,7019364.0,,
1995,Morelos,Truck,Export,121102757.0,,
1995,Nayarit,Mail (U.S. Postal Service),Export,39564.0,,
1995,Nayarit,Rail,Export,157108.0,,
1995,Nayarit,Truck,Export,2910115.0,,
1995,Nuevo Leon,Mail (U.S. Postal Service),Export,1152629.0,,
1995,Nuevo Leon,Other/Unknown,Export,22108961.0,,
1995,Nuevo Leon,Rail,Export,296909505.0,,
1995,Nuevo Leon,Truck,Export,1795739312.0,,
1995,Oaxaca,Rail,Export,6464310.0,,
1995,Oaxaca,Truck,Export,15737588.0,,
1995,Puebla,Mail (U.S. Postal Service),Export,52428.0,,
1995,Puebla,Other/Unknown,Export,203318.0,,
1995,Puebla,Rail,Export,49538820.0,,
1995,Puebla,Truck,Export,315714295.0,,
1995,Queretaro,Mail (U.S. Postal Service),Export,177057.0,,
1995,Queretaro,Other/Unknown,Export,79452.0,,
1995,Queretaro,Rail,Export,73605337.0,,
1995,Queretaro,Truck,Export,385988669.0,,
1995,Quintana Roo,Rail,Export,837751.0,,
1995,Quintana Roo,Truck,Export,7221779.0,,
1995,San Luis Potosi,Mail (U.S. Postal Service),Export,503008.0,,
1995,San Luis Potosi,Other/Unknown,Export,7638684.0,,
1995,San Luis Potosi,Rail,Export,21017303.0,,
1995,San Luis Potosi,Truck,Export,273216392.0,,
1995,Sinaloa,Other/Unknown,Export,1890593.0,,
1995,Sinaloa,Rail,Export,9250730.0,,
1995,Sinaloa,Truck,Export,49436223.0,,
1995,Sonora,Rail,Export,6143587.0,,
1995,Sonora,Truck,Export,19423288.0,,
1995,Tabasco,Mail (U.S. Postal Service),Export,26125.0,,
1995,Tabasco,Rail,Export,1032894.0,,
1995,Tabasco,Truck,Export,11970366.0,,
1995,Tamaulipas,Mail (U.S. Postal Service),Export,15801596.0,,
1995,Tamaulipas,Other/Unknown,Export,20937554.0,,
1995,Tamaulipas,Rail,Export,117678092.0,,
1995,Tamaulipas,Truck,Export,4446496038.0,,
1995,Tlaxcala,Rail,Export,17280297.0,,
1995,Tlaxcala,Truck,Export,51149953.0,,
1995,Veracruz,Mail (U.S. Postal Service),Export,277066.0,,
1995,Veracruz,Other/Unknown,Export,189419.0,,
1995,Veracruz,Rail,Export,43733220.0,,
1995,Veracruz,Truck,Export,74332966.0,,
1995,Yucatan,Rail,Export,650196.0,,
1995,Yucatan,Truck,Export,2676671.0,,
1995,Zacatecas,Mail (U.S. Postal Service),Export,111405.0,,
1995,Zacatecas,Other/Unknown,Export,134475.0,,
1995,Zacatecas,Rail,Export,19133256.0,,
1995,Zacatecas,Truck,Export,61166772.0,,
1996,Aguascalientes,Other/Unknown,Export,288647.0,,
1996,Aguascalientes,Rail,Export,15674208.0,,
1996,Aguascalientes,Truck,Export,331836202.0,,
1996,Baja California,Other/Unknown,Export,16627.0,,
1996,Baja California,Rail,Export,2897836.0,,
1996,Baja California,Truck,Export,11377320.0,,
1996,Baja California Sur,Rail,Export,8381.0,,
1996,Baja California Sur,Truck,Export,367210.0,,
1996,Campeche,Rail,Export,655203.0,,
1996,Campeche,Truck,Export,21345227.0,,
1996,Chiapas,Rail,Export,3173135.0,,
1996,Chiapas,Truck,Export,11223696.0,,
1996,Chihuahua,Other/Unknown,Export,9145516.0,,
1996,Chihuahua,Rail,Export,99362479.0,,
1996,Chihuahua,Truck,Export,8275841937.0,,
1996,Coahuila,Other/Unknown,Export,7310283.0,,
1996,Coahuila,Rail,Export,994781464.0,,
1996,Coahuila,Truck,Export,1763782787.0,,
1996,Colima,Other/Unknown,Export,6586.0,,
1996,Colima,Rail,Export,17091982.0,,
1996,Colima,Truck,Export,198882208.0,,
1996,Distrito Federal,Other/Unknown,Export,6847899.0,,
1996,Distrito Federal,Rail,Export,1100647345.0,,
1996,Distrito Federal,Truck,Export,6355796731.0,,
1996,Durango,Other/Unknown,Export,206881.0,,
1996,Durango,Rail,Export,65572172.0,,
1996,Durango,Truck,Export,286462566.0,,
1996,Estado de Mexico,Other/Unknown,Export,7116076.0,,
1996,Estado de Mexico,Pipeline,Export,207172.0,,
1996,Estado de Mexico,Rail,Export,305130432.0,,
1996,Estado de Mexico,Truck,Export,2965786804.0,,
1996,Guanajuato,Other/Unknown,Export,721943.0,,
1996,Guanajuato,Rail,Export,955679108.0,,
1996,Guanajuato,Truck,Export,405222280.0,,
1996,Guerrero,Other/Unknown,Export,12687.0,,
1996,Guerrero,Rail,Export,2177198.0,,
1996,Guerrero,Truck,Export,15170980.0,,
1996,Hidalgo,Other/Unknown,Export,51656.0,,
