Year,Country,Mode,TradeType,TradeValue,Weight,WeightLb
1998,Mexico,Pipeline,Import,2383433.0,63121.34,139158.57
1998,Mexico,Rail,Export,11495199742.0,,
1998,Mexico,Rail,Import,12029664622.0,5985858.89,13196544.23
1998,Mexico,Truck,Export,118280866426.0,,
1998,Mexico,Truck,Import,65883686596.0,19286194.51,42518730.14
1999,Canada,Foreign Trade Zones (FTZs),Import,111175376.0,107601.15,237219.65
1999,Canada,Mail (U.S. Postal Service),Export,6346423.0,,
1999,Canada,Mail (U.S. Postal Service),Import,13089003.0,181.6,400.36
1999,Canada,Other/Unknown,Export,12283630464.0,,
1999,Canada,Other/Unknown,Import,6386898151.0,49026.07,108083.85
1999,Canada,Pipeline,Export,113863544.0,,
1999,Canada,Pipeline,Import,12055490881.0,57610093.8,127008364.99
1999,Canada,Rail,Export,20672804303.0,,
1999,Canada,Rail,Import,46255372213.0,61408153.94,135381644.34
1999,Canada,Truck,Export,240636477802.0,,
1999,Canada,Truck,Import,118901435380.0,78677094.42,173453095.9
1999,Mexico,Foreign Trade Zones (FTZs),Import,2624357339.0,242299.13,534177.51
1999,Mexico,Mail (U.S. Postal Service),Export,743265.0,,
1999,Mexico,Mail (U.S. Postal Service),Import,215689.0,21.16,46.65
1999,Mexico,Other/Unknown,Export,4901759824.0,,
1999,Mexico,Other/Unknown,Import,1255828144.0,21131.3,46586.49
1999,Mexico,Pipeline,Export,279698303.0,,
1999,Mexico,Pipeline,Import,1549472.0,45669.47,100683.83
1999,Mexico,Rail,Export,10342180201.0,,
1999,Mexico,Rail,Import,14693445318.0,6681943.02,14731145.22
1999,Mexico,Truck,Export,131273618747.0,,
1999,Mexico,Truck,Import,76447963851.0,21679457.28,47794965.11
2000,Canada,Foreign Trade Zones (FTZs),Import,62798984.0,50281.45,110851.49
2000,Canada,Mail (U.S. Postal Service),Export,669500.0,,
2000,Canada,Mail (U.S. Postal Service),Import,4053831.0,80.54,177.56
2000,Canada,Other/Unknown,Export,12880705744.0,,
2000,Canada,Other/Unknown,Import,9571012422.0,44389.48,97861.94
2000,Canada,Pipeline,Export,270826836.0,,
2000,Canada,Pipeline,Import,23117108092.0,76000507.35,167552238.51
2000,Canada,Rail,Export,22573972367.0,,
2000,Canada,Rail,Import,49699239528.0,66094271.9,145712753.72
2000,Canada,Truck,Export,253087522790.0,,
2000,Canada,Truck,Import,127816281336.0,72445115.93,159713951.48
2000,Mexico,Foreign Trade Zones (FTZs),Import,2125681006.0,125426.39,276517.53
2000,Mexico,Mail (U.S. Postal Service),Export,45000.0,,
2000,Mexico,Mail (U.S. Postal Service),Import,552299.0,8.35,18.41
2000,Mexico,Other/Unknown,Export,5095925335.0,,
2000,Mexico,Other/Unknown,Import,1573883110.0,26687.89,58836.66
2000,Mexico,Pipeline,Export,508298883.0,,
2000,Mexico,Pipeline,Import,11533034.0,128690.38,283713.39
2000,Mexico,Rail,Export,19535096841.0,,
2000,Mexico,Rail,Import,21056113884.0,7314574.05,16125856.24
2000,Mexico,Truck,Export,162043341574.0,,
2000,Mexico,Truck,Import,88668745099.0,22804586.96,50275448.5
2001,Canada,Foreign Trade Zones (FTZs),Import,86067978.0,197037.33,434392.44
2001,Canada,Mail (U.S. Postal Service),Export,1570064.0,,
2001,Canada,Mail (U.S. Postal Service),Import,7238835.0,141.61,312.2
2001,Canada,Other/Unknown,Export,17939876535.0,,
2001,Canada,Other/Unknown,Import,10523789931.0,65640.55,144712.47
2001,Canada,Pipeline,Export,314816464.0,,
2001,Canada,Pipeline,Import,25908459316.0,75381270.9,166187057.45
2001,Canada,Rail,Export,22340313024.0,,
2001,Canada,Rail,Import,47197912163.0,66631588.83,146897333.37
2001,Canada,Truck,Export,231040133733.0,,
2001,Canada,Truck,Import,117129882407.0,69119662.23,152382589.75
2001,Mexico,Foreign Trade Zones (FTZs),Import,1894932046.0,144601.61,318791.6
2001,Mexico,Mail (U.S. Postal Service),Export,125568.0,,
2001,Mexico,Mail (U.S. Postal Service),Import,53119.0,3.47,7.65
2001,Mexico,Other/Unknown,Export,5007316158.0,,
2001,Mexico,Other/Unknown,Import,1539691853.0,35705.99,78718.14
2001,Mexico,Pipeline,Export,432356478.0,,
2001,Mexico,Pipeline,Import,1620159.0,17836.17,39321.98
2001,Mexico,Rail,Export,19259127315.0,,
2001,Mexico,Rail,Import,22056776869.0,8401203.51,18521461.28
2001,Mexico,Truck,Export,145828787418.0,,
2001,Mexico,Truck,Import,86377249856.0,22519648.88,49647268.31
2002,Canada,Foreign Trade Zones (FTZs),Import,43257256.0,90199.0,198854.52
2002,Canada,Mail (U.S. Postal Service),Export,1235468.0,,
2002,Canada,Mail (U.S. Postal Service),Import,356308.0,28.71,63.29
2002,Canada,Other/Unknown,Export,16370120789.0,,
2002,Canada,Other/Unknown,Import,7992721105.0,13181.5,29060.2
2002,Canada,Pipeline,Export,229914246.0,,
2002,Canada,Pipeline,Import,21832268859.0,74820209.77,164950130.86
2002,Canada,Rail,Export,23512866031.0,,
2002,Canada,Rail,Import,46966827116.0,69420936.26,153046784.5
2002,Canada,Truck,Export,231413989808.0,,
2002,Canada,Truck,Import,117985262935.0,72960082.33,160849256.71
2002,Mexico,Foreign Trade Zones (FTZs),Import,1446810676.0,456168.3,1005677.76
2002,Mexico,Mail (U.S. Postal Service),Export,655600.0,,
2002,Mexico,Mail (U.S. Postal Service),Import,202717.0,41.8,92.15
2002,Mexico,Other/Unknown,Export,3943714162.0,,
2002,Mexico,Other/Unknown,Import,1548890514.0,2126.01,4687.04
2002,Mexico,Pipeline,Export,670482876.0,,
2002,Mexico,Pipeline,Import,597552.0,5497.36,12119.59
2002,Mexico,Rail,Export,18877817113.0,,
2002,Mexico,Rail,Import,20790689267.0,8615140.37,18993110.76
2002,Mexico,Truck,Export,138712451135.0,,
2002,Mexico,Truck,Import,90593608682.0,23383936.26,51552693.56
2003,Canada,Air,Export,2176053321.0,40939.81,90256.72
2003,Canada,Air,Import,1424187265.0,11404.46,25142.5
2003,Canada,Foreign Trade Zones (FTZs),Import,65315237.0,203533.88,448714.86
2003,Canada,Mail (U.S. Postal Service),Export,397598.0,,
2003,Canada,Mail (U.S. Postal Service),Import,277832.0,50.73,111.84
2003,Canada,Other/Unknown,Export,15099238288.0,,
2003,Canada,Other/Unknown,Import,9236564911.0,21480.11,47355.48
2003,Canada,Pipeline,Export,759609997.0,,
2003,Canada,Pipeline,Import,31451273597.0,78008520.41,171979144.27
2003,Canada,Rail,Export,14776547822.0,,
2003,Canada,Rail,Import,49980875043.0,72650462.55,160166662.75
2003,Canada,Truck,Export,124234963543.0,,
2003,Canada,Truck,Import,116714063713.0,71042516.39,156621752.48
2003,Canada,Vessel,Export,430990039.0,6122290.76,13497324.66
2003,Canada,Vessel,Import,1343503720.0,12487101.7,27529314.15
2003,Mexico,Air,Export,1007254488.0,10907.23,24046.3
2003,Mexico,Air,Import,547202207.0,10697.48,23583.88
2003,Mexico,Foreign Trade Zones (FTZs),Import,1005380554.0,361347.48,796633.88
2003,Mexico,Mail (U.S. Postal Service),Export,356671.0,,
2003,Mexico,Mail (U.S. Postal Service),Import,31225.0,2.54,5.6
2003,Mexico,Other/Unknown,Export,3643347661.0,,
2003,Mexico,Other/Unknown,Import,1600145314.0,5312.32,11711.65
2003,Mexico,Pipeline,Export,155347265.0,,
2003,Mexico,Pipeline,Import,211172.0,90.72,200.0
2003,Mexico,Rail,Export,11264930481.0,,
2003,Mexico,Rail,Import,19701679154.0,8216177.83,18113549.97
2003,Mexico,Truck,Export,70550839672.0,,
2003,Mexico,Truck,Import,92535039373.0,23911941.54,52716744.56
2003,Mexico,Vessel,Export,1149259130.0,4316850.48,9517014.91
2003,Mexico,Vessel,Import,3610452101.0,19966800.96,44019208.73
2004,Canada,Air,Export,14152283990.0,242070.61,533673.71
2004,Canada,Air,Import,8391597214.0,72286.87,159365.08
2004,Canada,Foreign Trade Zones (FTZs),Import,202551652.0,392803.34,865982.1
2004,Canada,Mail (U.S. Postal Service),Export,23063147.0,,
2004,Canada,Mail (U.S. Postal Service),Import,199981.0,86.25,190.15
2004,Canada,Other/Unknown,Export,17776729475.0,,
2004,Canada,Other/Unknown,Import,8994449902.0,11315.16,24945.63
2004,Canada,Pipeline,Export,1584243359.0,,
2004,Canada,Pipeline,Import,36828266772.0,82605318.14,182113336.48
2004,Canada,Rail,Export,16596598590.0,,
2004,Canada,Rail,Import,57947247940.0,81122168.18,178843554.41
2004,Canada,Truck,Export,135897470107.0,,
2004,Canada,Truck,Import,132762148081.0,72903242.77,160723947.08
2004,Canada,Vessel,Export,3070865923.0,35328069.31,77884968.16
2004,Canada,Vessel,Import,10801484003.0,75366103.01,166153618.02
2004,Mexico,Air,Export,6013159610.0,63095.06,139100.63
2004,Mexico,Air,Import,3456025951.0,69940.08,154191.3
2004,Mexico,Foreign Trade Zones (FTZs),Import,679775558.0,285518.59,629459.99
2004,Mexico,Mail (U.S. Postal Service),Export,18109359.0,,
2004,Mexico,Mail (U.S. Postal Service),Import,31964.0,23.43,51.65
2004,Mexico,Other/Unknown,Export,4216367052.0,,
2004,Mexico,Other/Unknown,Import,1838706036.0,9075.52,20008.07
2004,Mexico,Pipeline,Export,87173939.0,,
2004,Mexico,Pipeline,Import,310870.0,8669.53,19113.02
2004,Mexico,Rail,Export,13632874413.0,,
2004,Mexico,Rail,Import,20183394150.0,9322804.28,20553240.77
2004,Mexico,Truck,Export,79349171763.0,,
2004,Mexico,Truck,Import,104943826561.0,28203242.71,62177432.94
2004,Mexico,Vessel,Export,7458428709.0,23399727.17,51587506.51
2004,Mexico,Vessel,Import,24740939825.0,112184036.12,247323169.71
2005,Canada,Air,Export,14264314649.0,213749.86,471237.22
2005,Canada,Air,Import,8470969489.0,75333.82,166082.45
2005,Canada,Foreign Trade Zones (FTZs),Import,149274359.0,331512.36,730858.78
2005,Canada,Mail (U.S. Postal Service),Export,36934554.0,,
2005,Canada,Mail (U.S. Postal Service),Import,83241.0,11.47,25.29
2005,Canada,Other/Unknown,Export,19933119949.0,,
2005,Canada,Other/Unknown,Import,12184357284.0,10041.76,22138.26
2005,Canada,Pipeline,Export,2393860275.0,,
