Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2007,6,Mexico,Truck,Export,7821632792.0,0.0,0.0
2007,6,Mexico,Truck,Import,11557146443.0,2692392.15,5935701.58
2007,6,Mexico,Vessel,Export,964195268.0,2416271.67,5326960.85
2007,6,Mexico,Vessel,Import,3119743640.0,8690112.54,19158395.91
2007,7,Canada,Air,Export,1266271152.0,19973.63,44034.26
2007,7,Canada,Air,Import,704277702.0,7227.89,15934.75
2007,7,Canada,Foreign Trade Zones (FTZs),Import,51012105.0,105464.05,232508.15
2007,7,Canada,Mail (U.S. Postal Service),Export,3976250.0,0.0,0.0
2007,7,Canada,Other/Unknown,Export,2046427114.0,0.0,0.0
2007,7,Canada,Other/Unknown,Import,1165390531.0,1016.09,2240.09
2007,7,Canada,Pipeline,Export,244651931.0,0.0,0.0
2007,7,Canada,Pipeline,Import,4738236148.0,7635268.09,16832864.74
2007,7,Canada,Rail,Export,1823622900.0,0.0,0.0
2007,7,Canada,Rail,Import,4836237913.0,6581367.23,14509413.82
2007,7,Canada,Truck,Export,12866921141.0,0.0,0.0
2007,7,Canada,Truck,Import,11327242821.0,5153986.45,11362581.61
2007,7,Canada,Vessel,Export,528168413.0,4107075.65,9054541.12
2007,7,Canada,Vessel,Import,1644483737.0,6844802.37,15090188.2
2007,7,Mexico,Air,Export,552793142.0,5304.92,11695.33
2007,7,Mexico,Air,Import,353538948.0,7272.18,16032.39
2007,7,Mexico,Foreign Trade Zones (FTZs),Import,61548503.0,7306.99,16109.14
2007,7,Mexico,Mail (U.S. Postal Service),Export,2168008.0,0.0,0.0
2007,7,Mexico,Other/Unknown,Export,506060825.0,0.0,0.0
2007,7,Mexico,Other/Unknown,Import,213770970.0,128.44,283.16
2007,7,Mexico,Pipeline,Export,43161540.0,0.0,0.0
2007,7,Mexico,Pipeline,Import,14743092.0,27182.03,59926.05
2007,7,Mexico,Rail,Export,1403642440.0,0.0,0.0
2007,7,Mexico,Rail,Import,2077333493.0,970106.5,2138716.19
2007,7,Mexico,Truck,Export,7744495931.0,0.0,0.0
2007,7,Mexico,Truck,Import,10652232431.0,2409018.21,5310969.73
2007,7,Mexico,Vessel,Export,933863792.0,2077934.24,4581055.38
2007,7,Mexico,Vessel,Import,3432218680.0,8898901.2,19618695.56
2007,8,Canada,Air,Export,1432518228.0,20079.14,44266.87
2007,8,Canada,Air,Import,745015917.0,7795.41,17185.92
2007,8,Canada,Foreign Trade Zones (FTZs),Import,76621071.0,135954.26,299727.48
2007,8,Canada,Mail (U.S. Postal Service),Export,3924715.0,0.0,0.0
2007,8,Canada,Mail (U.S. Postal Service),Import,68570.0,8.79,19.38
2007,8,Canada,Other/Unknown,Export,2077830615.0,0.0,0.0
2007,8,Canada,Other/Unknown,Import,1175322643.0,618.29,1363.09
2007,8,Canada,Pipeline,Export,138793632.0,0.0,0.0
2007,8,Canada,Pipeline,Import,4721508077.0,7964102.53,17557819.72
2007,8,Canada,Rail,Export,2019185068.0,0.0,0.0
2007,8,Canada,Rail,Import,5800803618.0,6613045.39,14579252.13
2007,8,Canada,Truck,Export,14809367879.0,0.0,0.0
2007,8,Canada,Truck,Import,12254970542.0,5427279.98,11965089.99
2007,8,Canada,Vessel,Export,641490114.0,3625775.86,7993457.98
2007,8,Canada,Vessel,Import,1661021467.0,7358631.73,16222986.68
2007,8,Mexico,Air,Export,626545387.0,5715.62,12600.77
2007,8,Mexico,Air,Import,480528085.0,9319.85,20546.73
2007,8,Mexico,Foreign Trade Zones (FTZs),Import,71474099.0,8162.06,17994.24
2007,8,Mexico,Mail (U.S. Postal Service),Export,89073.0,0.0,0.0
2007,8,Mexico,Other/Unknown,Export,491204666.0,0.0,0.0
2007,8,Mexico,Other/Unknown,Import,198945624.0,54.74,120.68
2007,8,Mexico,Pipeline,Export,50534335.0,0.0,0.0
2007,8,Mexico,Pipeline,Import,11516686.0,21822.88,48111.16
2007,8,Mexico,Rail,Export,1643434900.0,0.0,0.0
2007,8,Mexico,Rail,Import,2618291056.0,1013713.39,2234852.81
2007,8,Mexico,Truck,Export,8567811463.0,0.0,0.0
2007,8,Mexico,Truck,Import,12426026940.0,2611405.9,5757157.68
2007,8,Mexico,Vessel,Export,922706765.0,2210223.25,4872702.38
2007,8,Mexico,Vessel,Import,3442143580.0,8734846.31,19257016.87
2007,9,Canada,Air,Export,1394057012.0,18525.83,40842.42
