Year,Month,CommodityGroup,Mode,TradeType,TradeValue,Weight,WeightLb
2007,1,"Stone, Ceramic & Glass Products",Other/Unknown,Export,28365.0,,
2007,1,"Stone, Ceramic & Glass Products",Rail,Export,3320490.0,,
2007,1,"Stone, Ceramic & Glass Products",Rail,Import,8440884.0,12372.41,27276.46
2007,1,"Stone, Ceramic & Glass Products",Truck,Export,62595238.0,,
2007,1,"Stone, Ceramic & Glass Products",Truck,Import,162981781.0,216949.91,478292.11
2007,1,"Stone, Ceramic & Glass Products",Vessel,Export,225876.0,197.94,436.38
2007,1,"Stone, Ceramic & Glass Products",Vessel,Import,3055353.0,3447.61,7600.67
2007,1,Textiles & Apparel,Air,Export,5038748.0,159.38,351.37
2007,1,Textiles & Apparel,Air,Import,6587470.0,203.72,449.13
2007,1,Textiles & Apparel,Foreign Trade Zones (FTZs),Import,159628.0,25.61,56.46
2007,1,Textiles & Apparel,Other/Unknown,Export,127421.0,,
2007,1,Textiles & Apparel,Other/Unknown,Import,1100.0,0.02,0.04
2007,1,Textiles & Apparel,Rail,Export,2350644.0,,
2007,1,Textiles & Apparel,Rail,Import,60730.0,20.6,45.42
2007,1,Textiles & Apparel,Truck,Export,345008589.0,,
2007,1,Textiles & Apparel,Truck,Import,424146617.0,55634.89,122653.79
2007,1,Textiles & Apparel,Vessel,Export,23684076.0,6977.05,15381.74
2007,1,Textiles & Apparel,Vessel,Import,41354549.0,5991.98,13210.04
2007,1,Transportation Equipment,Air,Export,14207275.0,168.64,371.79
2007,1,Transportation Equipment,Air,Import,4541683.0,349.25,769.96
2007,1,Transportation Equipment,Foreign Trade Zones (FTZs),Import,33132305.0,2976.72,6562.54
2007,1,Transportation Equipment,Other/Unknown,Export,102647356.0,,
2007,1,Transportation Equipment,Other/Unknown,Import,41601.0,2.86,6.31
2007,1,Transportation Equipment,Rail,Export,391659973.0,,
2007,1,Transportation Equipment,Rail,Import,954933421.0,154505.91,340626.82
2007,1,Transportation Equipment,Truck,Export,559798425.0,,
2007,1,Transportation Equipment,Truck,Import,899344137.0,189279.32,417288.97
2007,1,Transportation Equipment,Vessel,Export,21111165.0,1498.11,3302.76
2007,1,Transportation Equipment,Vessel,Import,174602002.0,33395.34,73624.03
2007,1,Vegetable Products,Air,Export,1198750.0,146.78,323.59
2007,1,Vegetable Products,Air,Import,3089174.0,435.55,960.22
2007,1,Vegetable Products,Other/Unknown,Export,419962.0,,
2007,1,Vegetable Products,Rail,Export,215645190.0,,
2007,1,Vegetable Products,Rail,Import,3049779.0,9191.41,20263.57
2007,1,Vegetable Products,Truck,Export,91476218.0,,
2007,1,Vegetable Products,Truck,Import,556329941.0,562888.79,1240955.88
2007,1,Vegetable Products,Vessel,Export,105447814.0,587687.68,1295628.01
2007,1,Vegetable Products,Vessel,Import,7921094.0,8750.71,19291.99
2007,1,Wood & Wood Products,Air,Export,60432.0,7.27,16.03
2007,1,Wood & Wood Products,Air,Import,14321.0,0.87,1.92
2007,1,Wood & Wood Products,Rail,Export,6449929.0,,
2007,1,Wood & Wood Products,Rail,Import,124809.0,325.38,717.34
2007,1,Wood & Wood Products,Truck,Export,40180931.0,,
2007,1,Wood & Wood Products,Truck,Import,22364235.0,17333.61,38214.02
2007,1,Wood & Wood Products,Vessel,Export,1116064.0,2207.3,4866.26
2007,1,Wood & Wood Products,Vessel,Import,483675.0,196.12,432.37
2007,1,Works of Art & Antiques,Air,Export,412070.0,4.12,9.08
2007,1,Works of Art & Antiques,Air,Import,2658578.0,7.58,16.71
2007,1,Works of Art & Antiques,Truck,Export,833584.0,,
2007,1,Works of Art & Antiques,Truck,Import,325422.0,54.78,120.77
2007,1,Works of Art & Antiques,Vessel,Import,4000.0,0.01,0.02
2007,2,Animal or Vegetable Fats & Oils,Air,Export,231348.0,2.1,4.63
2007,2,Animal or Vegetable Fats & Oils,Rail,Export,14766960.0,,
2007,2,Animal or Vegetable Fats & Oils,Rail,Import,1378327.0,1663.89,3668.25
2007,2,Animal or Vegetable Fats & Oils,Truck,Export,5220889.0,,
2007,2,Animal or Vegetable Fats & Oils,Truck,Import,2353874.0,1983.89,4373.72
2007,2,Animal or Vegetable Fats & Oils,Vessel,Export,4119962.0,8338.71,18383.69
2007,2,Animal or Vegetable Fats & Oils,Vessel,Import,68657.0,26.07,57.47
2007,2,Arms & Ammunition,Truck,Export,977044.0,,
2007,2,Arms & Ammunition,Truck,Import,1728363.0,142.76,314.73
2007,2,Base Metals & Articles,Air,Export,9033169.0,755.88,1666.43
2007,2,Base Metals & Articles,Air,Import,2680673.0,99.58,219.54
2007,2,Base Metals & Articles,Foreign Trade Zones (FTZs),Import,5997579.0,676.04,1490.41
2007,2,Base Metals & Articles,Other/Unknown,Export,583380.0,,
2007,2,Base Metals & Articles,Other/Unknown,Import,2151.0,0.88,1.94
2007,2,Base Metals & Articles,Rail,Export,130018246.0,,
2007,2,Base Metals & Articles,Rail,Import,140933309.0,88198.36,194443.87
2007,2,Base Metals & Articles,Truck,Export,698813409.0,,
2007,2,Base Metals & Articles,Truck,Import,503886837.0,233965.13,515804.2
2007,2,Base Metals & Articles,Vessel,Export,18894901.0,43054.98,94919.87
2007,2,Base Metals & Articles,Vessel,Import,67682618.0,122838.37,270811.93
2007,2,Chemical Products,Air,Export,58013304.0,491.54,1083.66
2007,2,Chemical Products,Air,Import,4714256.0,79.53,175.33
2007,2,Chemical Products,Foreign Trade Zones (FTZs),Import,3019.0,5.5,12.13
2007,2,Chemical Products,Other/Unknown,Export,296144.0,,
2007,2,Chemical Products,Rail,Export,79522761.0,,
2007,2,Chemical Products,Rail,Import,19764507.0,52375.03,115467.04
2007,2,Chemical Products,Truck,Export,388897871.0,,
2007,2,Chemical Products,Truck,Import,150511281.0,98346.71,216817.12
2007,2,Chemical Products,Vessel,Export,227381527.0,414731.05,914324.37
2007,2,Chemical Products,Vessel,Import,26822991.0,29998.17,66134.57
